DATE,PAYEMS
7/1/29,31294
7/1/30,29577
7/1/31,27027
7/1/32,24216
7/1/33,24132
7/1/34,26084
7/1/35,27061
7/1/36,28963
7/1/37,30705
7/1/38,29064
1/1/39,29923
2/1/39,30101
3/1/39,30280
4/1/39,30094
5/1/39,30300
6/1/39,30502
7/1/39,30419
8/1/39,30663
9/1/39,31032
10/1/39,31408
11/1/39,31469
12/1/39,31539
1/1/40,31603
2/1/40,31715
3/1/40,31826
4/1/40,31700
5/1/40,31880
6/1/40,31978
7/1/40,31942
8/1/40,32352
9/1/40,32810
10/1/40,33265
11/1/40,33668
12/1/40,34172
1/1/41,34480
2/1/41,34844
3/1/41,35094
4/1/41,35469
5/1/41,36182
6/1/41,36651
7/1/41,37137
8/1/41,37544
9/1/41,37835
10/1/41,37948
11/1/41,38024
12/1/41,38104
1/1/42,38347
2/1/42,38513
3/1/42,38936
4/1/42,39352
5/1/42,39772
6/1/42,40028
7/1/42,40471
8/1/42,40988
9/1/42,41255
10/1/42,41515
11/1/42,41673
12/1/42,41915
1/1/43,42172
2/1/43,42395
3/1/43,42553
4/1/43,42647
5/1/43,42596
6/1/43,42781
7/1/43,42701
8/1/43,42546
9/1/43,42485
10/1/43,42675
11/1/43,42820
12/1/43,42746
1/1/44,42655
2/1/44,42544
3/1/44,42292
4/1/44,42063
5/1/44,41985
6/1/44,41947
7/1/44,41905
8/1/44,41850
9/1/44,41672
10/1/44,41709
11/1/44,41712
12/1/44,41861
1/1/45,41897
2/1/45,41904
3/1/45,41796
4/1/45,41443
5/1/45,41304
6/1/45,41149
7/1/45,40873
8/1/45,40467
9/1/45,38500
10/1/45,38599
11/1/45,38997
12/1/45,39112
1/1/46,39832
2/1/46,39251
3/1/46,40193
4/1/46,40909
5/1/46,41349
6/1/46,41733
7/1/46,42153
8/1/46,42643
9/1/46,42909
10/1/46,43094
11/1/46,43397
12/1/46,43379
1/1/47,43539
2/1/47,43563
3/1/47,43606
4/1/47,43492
5/1/47,43638
6/1/47,43808
7/1/47,43743
8/1/47,43959
9/1/47,44201
10/1/47,44415
11/1/47,44487
12/1/47,44579
1/1/48,44682
2/1/48,44537
3/1/48,44681
4/1/48,44370
5/1/48,44795
6/1/48,45033
7/1/48,45160
8/1/48,45176
9/1/48,45295
10/1/48,45251
11/1/48,45194
12/1/48,45029
1/1/49,44671
2/1/49,44500
3/1/49,44238
4/1/49,44230
5/1/49,43982
6/1/49,43739
7/1/49,43529
8/1/49,43622
9/1/49,43784
10/1/49,42950
11/1/49,43245
12/1/49,43517
1/1/50,43528
2/1/50,43298
3/1/50,43952
4/1/50,44376
5/1/50,44718
6/1/50,45084
7/1/50,45454
8/1/50,46188
9/1/50,46442
10/1/50,46712
11/1/50,46778
12/1/50,46855
1/1/51,47288
2/1/51,47577
3/1/51,47871
4/1/51,47856
5/1/51,47953
6/1/51,48068
7/1/51,48062
8/1/51,48009
9/1/51,47955
10/1/51,48009
11/1/51,48148
12/1/51,48309
1/1/52,48298
2/1/52,48522
3/1/52,48504
4/1/52,48616
5/1/52,48645
6/1/52,48286
7/1/52,48144
8/1/52,48923
9/1/52,49319
10/1/52,49598
11/1/52,49816
12/1/52,50164
1/1/53,50145
2/1/53,50339
3/1/53,50475
4/1/53,50432
5/1/53,50491
6/1/53,50522
7/1/53,50536
8/1/53,50487
9/1/53,50365
10/1/53,50242
11/1/53,49907
12/1/53,49702
1/1/54,49468
2/1/54,49382
3/1/54,49158
4/1/54,49178
5/1/54,48965
6/1/54,48896
7/1/54,48835
8/1/54,48825
9/1/54,48882
10/1/54,48944
11/1/54,49178
12/1/54,49331
1/1/55,49497
2/1/55,49644
3/1/55,49963
4/1/55,50247
5/1/55,50512
6/1/55,50790
7/1/55,50985
8/1/55,51111
9/1/55,51262
10/1/55,51431
11/1/55,51592
12/1/55,51805
1/1/56,51975
2/1/56,52167
3/1/56,52295
4/1/56,52375
5/1/56,52506
6/1/56,52584
7/1/56,51954
8/1/56,52630
9/1/56,52601
10/1/56,52781
11/1/56,52822
12/1/56,52930
1/1/57,52888
2/1/57,53097
3/1/57,53157
4/1/57,53238
5/1/57,53149
6/1/57,53066
7/1/57,53123
8/1/57,53126
9/1/57,52932
10/1/57,52765
11/1/57,52559
12/1/57,52385
1/1/58,52077
2/1/58,51576
3/1/58,51300
4/1/58,51027
5/1/58,50913
6/1/58,50912
7/1/58,51037
8/1/58,51231
9/1/58,51506
10/1/58,51486
11/1/58,51944
12/1/58,52088
1/1/59,52480
2/1/59,52687
3/1/59,53016
4/1/59,53320
5/1/59,53549
6/1/59,53679
7/1/59,53803
8/1/59,53334
9/1/59,53429
10/1/59,53359
11/1/59,53635
12/1/59,54175
1/1/60,54274
2/1/60,54513
3/1/60,54458
4/1/60,54812
5/1/60,54473
6/1/60,54347
7/1/60,54304
8/1/60,54271
9/1/60,54228
10/1/60,54144
11/1/60,53962
12/1/60,53744
1/1/61,53683
2/1/61,53556
3/1/61,53662
4/1/61,53626
5/1/61,53785
6/1/61,53977
7/1/61,54123
8/1/61,54298
9/1/61,54388
10/1/61,54522
11/1/61,54743
12/1/61,54871
1/1/62,54891
2/1/62,55187
3/1/62,55276
4/1/62,55602
5/1/62,55627
6/1/62,55644
7/1/62,55746
8/1/62,55838
9/1/62,55977
10/1/62,56041
11/1/62,56056
12/1/62,56028
1/1/63,56116
2/1/63,56230
3/1/63,56322
4/1/63,56580
5/1/63,56616
6/1/63,56658
7/1/63,56794
8/1/63,56910
9/1/63,57077
10/1/63,57284
11/1/63,57255
12/1/63,57360
1/1/64,57487
2/1/64,57751
3/1/64,57898
4/1/64,57922
5/1/64,58089
6/1/64,58221
7/1/64,58413
8/1/64,58619
9/1/64,58903
10/1/64,58794
11/1/64,59217
12/1/64,59421
1/1/65,59583
2/1/65,59800
3/1/65,60003
4/1/65,60259
5/1/65,60492
6/1/65,60690
7/1/65,60963
8/1/65,61228
9/1/65,61490
10/1/65,61718
11/1/65,61997
12/1/65,62321
1/1/66,62528
2/1/66,62796
3/1/66,63192
4/1/66,63436
5/1/66,63711
6/1/66,64110
7/1/66,64301
8/1/66,64507
9/1/66,64644
10/1/66,64854
11/1/66,65019
12/1/66,65200
1/1/67,65407
2/1/67,65428
3/1/67,65530
4/1/67,65467
5/1/67,65619
6/1/67,65750
7/1/67,65887
8/1/67,66142
9/1/67,66164
10/1/67,66225
11/1/67,66703
12/1/67,66900
1/1/68,66805
2/1/68,67215
3/1/68,67295
4/1/68,67555
5/1/68,67653
6/1/68,67904
7/1/68,68125
8/1/68,68328
9/1/68,68487
10/1/68,68720
11/1/68,68985
12/1/68,69246
1/1/69,69438
2/1/69,69700
3/1/69,69905
4/1/69,70072
5/1/69,70328
6/1/69,70636
7/1/69,70729
8/1/69,71006
9/1/69,70917
10/1/69,71120
11/1/69,71087
12/1/69,71240
1/1/70,71176
2/1/70,71304
3/1/70,71452
4/1/70,71348
5/1/70,71123
6/1/70,71029
7/1/70,71053
8/1/70,70933
9/1/70,70948
10/1/70,70519
11/1/70,70409
12/1/70,70790
1/1/71,70866
2/1/71,70806
3/1/71,70859
4/1/71,71037
5/1/71,71247
6/1/71,71253
7/1/71,71315
8/1/71,71370
9/1/71,71617
10/1/71,71642
11/1/71,71846
12/1/71,72108
1/1/72,72445
2/1/72,72652
3/1/72,72945
4/1/72,73163
5/1/72,73467
6/1/72,73760
7/1/72,73708
8/1/72,74138
9/1/72,74263
10/1/72,74673
11/1/72,74967
12/1/72,75270
1/1/73,75621
2/1/73,76017
3/1/73,76285
4/1/73,76455
5/1/73,76646
6/1/73,76887
7/1/73,76911
8/1/73,77166
9/1/73,77276
10/1/73,77606
11/1/73,77912
12/1/73,78035
1/1/74,78104
2/1/74,78254
3/1/74,78296
4/1/74,78382
5/1/74,78547
6/1/74,78602
7/1/74,78635
8/1/74,78619
9/1/74,78611
10/1/74,78629
11/1/74,78261
12/1/74,77657
1/1/75,77297
2/1/75,76919
3/1/75,76649
4/1/75,76461
5/1/75,76623
6/1/75,76520
7/1/75,76769
8/1/75,77155
9/1/75,77230
10/1/75,77535
11/1/75,77680
12/1/75,78018
1/1/76,78506
2/1/76,78817
3/1/76,79049
4/1/76,79292
5/1/76,79311
6/1/76,79376
7/1/76,79547
8/1/76,79704
9/1/76,79892
10/1/76,79905
11/1/76,80237
12/1/76,80448
1/1/77,80692
2/1/77,80988
3/1/77,81391
4/1/77,81729
5/1/77,82089
6/1/77,82488
7/1/77,82836
8/1/77,83074
9/1/77,83532
10/1/77,83794
11/1/77,84173
12/1/77,84408
1/1/78,84595
2/1/78,84948
3/1/78,85461
4/1/78,86163
5/1/78,86509
6/1/78,86951
7/1/78,87205
8/1/78,87481
9/1/78,87618
10/1/78,87954
11/1/78,88391
12/1/78,88673
1/1/79,88810
2/1/79,89054
3/1/79,89480
4/1/79,89418
5/1/79,89791
6/1/79,90109
7/1/79,90215
8/1/79,90297
9/1/79,90325
10/1/79,90482
11/1/79,90576
12/1/79,90673
1/1/80,90802
2/1/80,90882
3/1/80,90994
4/1/80,90850
5/1/80,90419
6/1/80,90099
7/1/80,89837
8/1/80,90097
9/1/80,90210
10/1/80,90491
11/1/80,90748
12/1/80,90943
1/1/81,91037
2/1/81,91105
3/1/81,91210
4/1/81,91283
5/1/81,91293
6/1/81,91490
7/1/81,91602
8/1/81,91566
9/1/81,91479
10/1/81,91380
11/1/81,91171
12/1/81,90893
1/1/82,90567
2/1/82,90562
3/1/82,90432
4/1/82,90152
5/1/82,90107
6/1/82,89864
7/1/82,89522
8/1/82,89364
9/1/82,89183
10/1/82,88906
11/1/82,88783
12/1/82,88769
1/1/83,88993
2/1/83,88918
3/1/83,89090
4/1/83,89366
5/1/83,89643
6/1/83,90022
7/1/83,90440
8/1/83,90132
9/1/83,91247
10/1/83,91518
11/1/83,91871
12/1/83,92227
1/1/84,92673
2/1/84,93154
3/1/84,93429
4/1/84,93792
5/1/84,94100
6/1/84,94479
7/1/84,94792
8/1/84,95034
9/1/84,95344
10/1/84,95630
11/1/84,95979
12/1/84,96107
1/1/85,96373
2/1/85,96497
3/1/85,96843
4/1/85,97039
5/1/85,97313
6/1/85,97459
7/1/85,97649
8/1/85,97842
9/1/85,98045
10/1/85,98233
11/1/85,98442
12/1/85,98609
1/1/86,98734
2/1/86,98841
3/1/86,98935
4/1/86,99122
5/1/86,99249
6/1/86,99155
7/1/86,99473
8/1/86,99587
9/1/86,99934
10/1/86,100120
11/1/86,100306
12/1/86,100511
1/1/87,100683
2/1/87,100915
3/1/87,101164
4/1/87,101502
5/1/87,101728
6/1/87,101900
7/1/87,102247
8/1/87,102418
9/1/87,102646
10/1/87,103138
11/1/87,103370
12/1/87,103664
1/1/88,103758
2/1/88,104211
3/1/88,104487
4/1/88,104732
5/1/88,104961
6/1/88,105324
7/1/88,105546
8/1/88,105670
9/1/88,106009
10/1/88,106277
11/1/88,106616
12/1/88,106906
1/1/89,107168
2/1/89,107426
3/1/89,107619
4/1/89,107792
5/1/89,107910
6/1/89,108026
7/1/89,108066
8/1/89,108115
9/1/89,108365
10/1/89,108476
11/1/89,108753
12/1/89,108849
1/1/90,109184
2/1/90,109432
3/1/90,109647
4/1/90,109687
5/1/90,109840
6/1/90,109865
7/1/90,109829
8/1/90,109619
9/1/90,109517
10/1/90,109370
11/1/90,109220
12/1/90,109163
1/1/91,109042
2/1/91,108735
3/1/91,108577
4/1/91,108365
5/1/91,108249
6/1/91,108337
7/1/91,108297
8/1/91,108314
9/1/91,108334
10/1/91,108359
11/1/91,108303
12/1/91,108325
1/1/92,108374
2/1/92,108317
3/1/92,108369
4/1/92,108526
5/1/92,108653
6/1/92,108718
7/1/92,108792
8/1/92,108927
9/1/92,108959
10/1/92,109145
11/1/92,109277
12/1/92,109494
1/1/93,109804
2/1/93,110051
3/1/93,109997
4/1/93,110304
5/1/93,110573
6/1/93,110749
7/1/93,111055
8/1/93,111210
9/1/93,111455
10/1/93,111741
11/1/93,111991
12/1/93,112314
1/1/94,112590
2/1/94,112788
3/1/94,113249
4/1/94,113596
5/1/94,113929
6/1/94,114248
7/1/94,114618
8/1/94,114900
9/1/94,115260
10/1/94,115469
11/1/94,115876
12/1/94,116168
1/1/95,116495
2/1/95,116693
3/1/95,116912
4/1/95,117074
5/1/95,117057
6/1/95,117297
7/1/95,117389
8/1/95,117641
9/1/95,117893
10/1/95,118045
11/1/95,118191
12/1/95,118323
1/1/96,118310
2/1/96,118735
3/1/96,119000
4/1/96,119165
5/1/96,119491
6/1/96,119772
7/1/96,120023
8/1/96,120208
9/1/96,120421
10/1/96,120682
11/1/96,120977
12/1/96,121148
1/1/97,121379
2/1/97,121687
3/1/97,121999
4/1/97,122291
5/1/97,122554
6/1/97,122818
7/1/97,123121
8/1/97,123099
9/1/97,123598
10/1/97,123942
11/1/97,124241
12/1/97,124559
1/1/98,124831
2/1/98,125029
3/1/98,125174
4/1/98,125454
5/1/98,125856
6/1/98,126079
7/1/98,126209
8/1/98,126549
9/1/98,126767
10/1/98,126968
11/1/98,127241
12/1/98,127608
1/1/99,127725
2/1/99,128135
3/1/99,128242
4/1/99,128614
5/1/99,128825
6/1/99,129089
7/1/99,129417
8/1/99,129571
9/1/99,129796
10/1/99,130190
11/1/99,130479
12/1/99,130789
1/1/00,131007
2/1/00,131138
3/1/00,131605
4/1/00,131898
5/1/00,132117
6/1/00,132081
7/1/00,132254
8/1/00,132239
9/1/00,132383
10/1/00,132368
11/1/00,132590
12/1/00,132727
1/1/01,132702
2/1/01,132776
3/1/01,132748
4/1/01,132469
5/1/01,132428
6/1/01,132307
7/1/01,132199
8/1/01,132053
9/1/01,131803
10/1/01,131475
11/1/01,131178
12/1/01,131001
1/1/02,130852
2/1/02,130724
3/1/02,130707
4/1/02,130624
5/1/02,130641
6/1/02,130692
7/1/02,130615
8/1/02,130608
9/1/02,130541
10/1/02,130654
11/1/02,130660
12/1/02,130490
1/1/03,130597
2/1/03,130451
3/1/03,130243
4/1/03,130194
5/1/03,130205
6/1/03,130198
7/1/03,130217
8/1/03,130171
9/1/03,130281
10/1/03,130486
11/1/03,130489
12/1/03,130610
1/1/04,130777
2/1/04,130835
3/1/04,131163
4/1/04,131417
5/1/04,131714
6/1/04,131796
7/1/04,131841
8/1/04,131957
9/1/04,132114
10/1/04,132462
11/1/04,132525
12/1/04,132651
1/1/05,132798
2/1/05,133042
3/1/05,133180
4/1/05,133538
5/1/05,133710
6/1/05,133957
7/1/05,134328
8/1/05,134524
9/1/05,134590
10/1/05,134676
11/1/05,135013
12/1/05,135168
1/1/06,135450
2/1/06,135762
3/1/06,136059
4/1/06,136227
5/1/06,136258
6/1/06,136337
7/1/06,136543
8/1/06,136722
9/1/06,136870
10/1/06,136882
11/1/06,137090
12/1/06,137263
1/1/07,137497
2/1/07,137582
3/1/07,137796
4/1/07,137855
5/1/07,138008
6/1/07,138085
7/1/07,138055
8/1/07,138027
9/1/07,138123
10/1/07,138201
11/1/07,138307
12/1/07,138411
1/1/08,138419
2/1/08,138338
3/1/08,138283
4/1/08,138054
5/1/08,137870
6/1/08,137716
7/1/08,137503
8/1/08,137226
9/1/08,136783
10/1/08,136308
11/1/08,135549
12/1/08,134842
1/1/09,134055
2/1/09,133351
3/1/09,132549
4/1/09,131845
5/1/09,131491
6/1/09,131022
7/1/09,130680
8/1/09,130484
9/1/09,130255
10/1/09,130046
11/1/09,130058
12/1/09,129781
1/1/10,129799
2/1/10,129726
3/1/10,129919
4/1/10,130140
5/1/10,130662
6/1/10,130522
7/1/10,130444
8/1/10,130428
9/1/10,130365
10/1/10,130632
11/1/10,130761
12/1/10,130834
1/1/11,130878
2/1/11,131060
3/1/11,131314
4/1/11,131637
5/1/11,131718
6/1/11,131952
7/1/11,132024
8/1/11,132136
9/1/11,132369
10/1/11,132578
11/1/11,132723
12/1/11,132924
1/1/12,133272
2/1/12,133505
3/1/12,133769
4/1/12,133841
5/1/12,133958
6/1/12,134026
7/1/12,134182
8/1/12,134355
9/1/12,134549
10/1/12,134702
11/1/12,134832
12/1/12,135075
1/1/13,135282
2/1/13,135547
3/1/13,135703
4/1/13,135882
5/1/13,136122
6/1/13,136280
7/1/13,136391
8/1/13,136651
9/1/13,136852
10/1/13,137062
11/1/13,137283
12/1/13,137376
1/1/14,137550
2/1/14,137732
3/1/14,137993
4/1/14,138304
5/1/14,138556
6/1/14,138862
7/1/14,139058
8/1/14,139284
9/1/14,139568
10/1/14,139823
11/1/14,140130
12/1/14,140381
1/1/15,140592
2/1/15,140859
3/1/15,140937
4/1/15,141219
5/1/15,141545
6/1/15,141736
7/1/15,141992
8/1/15,142156
9/1/15,142244
10/1/15,142595
11/1/15,142859
12/1/15,143093
1/1/16,143196
2/1/16,143453
3/1/16,143688
4/1/16,143862
5/1/16,143896
6/1/16,144181
7/1/16,144506
8/1/16,144681
9/1/16,144945
10/1/16,145085
11/1/16,145257
12/1/16,145437
1/1/17,145696
2/1/17,145896
3/1/17,145969
4/1/17,146144
5/1/17,146299
6/1/17,146538
7/1/17,146728
8/1/17,146949
9/1/17,146963
10/1/17,147234
11/1/17,147450
12/1/17,147625
1/1/18,147801
2/1/18,148125
3/1/18,148280
4/1/18,148439
5/1/18,148662